"Country","Emissions_Factor_Update_Year","Market_Based_CO2e_Emission_Factor_t_MWh","Market_Based_Renewable_Energy_Excluding_Hydroelectricity_Percentage","Emission_Factor_t_MWh"
"USA",2019,0.489997,0,0
"USA",2019,0.49242,21,0
"USA",2019,0.326993,3,0
"USA",2019,0.305743,1,0
"USA",2019,0.391569,22,0
"MDA",2019,0.501991,0,0.5015
"MOZ",2019,0.113701,0,0.1135
"MMR",2019,0.360757,0,0.3602
"MMR",2019,0.354202,0,0.3538
"NOR",2019,0.008,0,0.008
"OMN",2019,0.456791,0,0.4563
"OMN",2019,0.471291,0,0.4708
"PAK",2019,0.416837,0,0.4155
"PAK",2019,0.392259,0,0.3911
"PRY",2019,0,0,0
"AGO",2019,0.500527,0,0.4989
"ARG",2019,0.37687,0,0.376
"ARM",2019,0.159501,0,0.1593
"ARM",2019,0.160301,0,0.1601
"BEL",2019,0.171771,0,0.1705
"BEL",2019,0.171182,0,0.17
"BEN",2019,0.615349,0,0.6139
"BIH",2019,0.777547,0,0.7743
"BHR",2019,0.705292,0,0.7046
"BRA",2019,0.11689,0,0.1166
"BRA",2019,0.12159,0,0.1213
"BGR",2019,0.513468,0,0.5114
"BGR",2019,0.474991,0,0.4731
"KHM",2019,0.594315,0,0.5914
"KHM",2019,0.536648,0,0.534
"CHN",2019,0.629904,0,0.6269
"CRI",2019,0.012,0,0.012
"CIV",2019,0.369792,0,0.3691
"CIV",2019,0.342992,0,0.3423
"HRV",2019,0.208646,0,0.208
"CUB",2019,0.543008,0,0.5406
,2019,0.423737,0,0.4224
,2019,0.519027,0,0.5174
"CYP",2019,0.645806,0,0.6438
"CYP",2019,0.659606,0,0.6576
"CZE",2019,0.501779,0,0.4998
"COG",2019,0.386591,0,0.3861
"CHN",2019,0.625981,0,0.6236
"CHN",2019,0.588293,0,0.5858
"COL",2019,0.134669,0,0.134
"COL",2019,0.221447,0,0.2204
"CZE",2019,0.532168,0,0.5301
"DNK",2019,0.151334,0,0.1506
"DNK",2019,0.208401,0,0.2074
"DOM",2019,0.522694,0,0.5208
"ECU",2019,0.280458,0,0.2795
"EGY",2019,0.442492,0,0.4418
"EGY",2019,0.454481,0,0.4537
"ERI",2019,0.860875,0,0.8582
"FIN",2019,0.117058,0,0.1163
"FRA",2019,0.06069,0,0.0604
"GAB",2019,0.42107,0,0.4202
"GHA",2019,0.25488,0,0.2543
,2019,0.759096,0,0.7568
,2019,0.757996,0,0.7557
"GRC",2019,0.533136,0,0.5314
"GRC",2019,0.522125,0,0.5203
"GTM",2019,0.315686,0,0.3065
"GTM",2019,0.422239,0,0.4077
"HTI",2019,0.921664,0,0.9187
"CHN",2019,0.728714,0,0.726
"CHN",2019,0.737414,0,0.7347
"HUN",2019,0.267304,0,0.2657
"HUN",2019,0.273893,0,0.2722
"ISL",2019,0.0001,0,0.0001
"IRN",2019,0.532892,0,0.5322
"IRN",2019,0.532081,0,0.5313
"IRQ",2019,0.909997,0,0.9075
"ISR",2019,0.567836,0,0.5661
"ITA",2019,0.326925,0,0.3257
"ITA",2019,0.332037,0,0.3307
"JAM",2019,0.588328,0,0.5865
"JAM",2019,0.647606,0,0.6456
"JPN",2019,0.52426,0,0.5223
"JPN",2019,0.54076,0,0.5388
"JOR",2019,0.498592,0,0.4979
"JOR",2019,0.489792,0,0.4891
"KAZ",2019,0.613969,0,0.6117
"KAZ",2019,0.639947,0,0.6375
,2019,0.957859,0,0.9539
,2019,1.129782,0,1.125
"KWT",2019,0.596549,0,0.5951
"MKD",2019,0.613747,0,0.6113
"MYS",2019,0.65247,0,0.65
"MYS",2019,0.657281,0,0.6549
"MLT",2019,0.43168,0,0.4311
"MLT",2019,0.651706,0,0.6497
"MUS",2019,0.810988,0,0.8033
"KGZ",2019,0.074167,0,0.0739
"LVA",2019,0.0723,0,0.0723
"LVA",2019,0.118701,0,0.1185
"LBN",2019,0.776697,0,0.7742
"LBN",2019,0.755597,0,0.7531
"LBY",2019,0.57007,0,0.569
"LBY",2019,0.53887,0,0.538
"LTU",2019,0.07879,0,0.0785
"LTU",2019,0.137281,0,0.1365
"MUS",2019,0.801577,0,0.7936
"NLD",2019,0.468471,0,0.4666
"NZL",2019,0.115789,0,0.1157
"NIC",2019,0.319277,0,0.3104
"NGA",2019,0.417902,0,0.4175
"PRK",2019,0.243801,0,0.2428
"NOR",2019,0.0083,0,0.0083
"TJK",2020,0.061267,0,0.061
"TZA",2020,0.32017,0,0.3191
"ZWE",2020,0.693349,0,0.6897
"PRT",2019,0.360671,0,0.3588
"PRT",2019,0.288193,0,0.2865
"SAU",2019,0.710349,0,0.7089
"SEN",2019,0.643854,0,0.6406
"SEN",2019,0.671443,0,0.6681
,2019,0.790247,0,0.787
,2019,0.73467,0,0.7316
"SGP",2019,0.396561,0,0.395
"SVK",2019,0.160446,0,0.1598
"SVK",2019,0.156446,0,0.1558
"SUR",2019,0.397448,0,0.3962
"SUR",2019,0.396748,0,0.3955
"SVN",2019,0.26269,0,0.2616
"SVN",2019,0.25979,0,0.2587
"ZAF",2019,0.903648,0,0.8996
"ZAF",2019,0.949538,0,0.9452
"KOR",2019,0.523314,0,0.5214
"SSD",2019,0.775786,0,0.7732
"SSD",2019,0.748497,0,0.746
"ESP",2019,0.289614,0,0.2883
"CHE",2019,0.028891,0,0.0284
,2019,0.635048,0,0.6338
"TJK",2019,0.043378,0,0.0432
"TZA",2019,0.302681,0,0.3019
"TZA",2019,0.325681,0,0.3249
"THA",2019,0.485317,0,0.4801
"TGO",2019,0.09207,0,0.091
"TGO",2019,0.08387,0,0.0828
"TTO",2019,0.467591,0,0.4671
"TTO",2019,0.519391,0,0.5189
"TUN",2019,0.428502,0,0.4281
"ARE",2019,0.658892,0,0.6582
"ARE",2019,0.661492,0,0.6608
"GBR",2019,0.24695,0,0.2453
"GBR",2019,0.280039,0,0.2783
"VEN",2019,0.28818,0,0.2876
"VEN",2019,0.314569,0,0.3139
"YEM",2019,0.632338,0,0.6308
"YEM",2019,0.665539,0,0.6638
"ZWE",2019,0.708449,0,0.7048
"AUT",2020,0.148981,0,0.1482
"BHR",2020,0.690492,0,0.6898
"BGD",2020,0.493581,0,0.4928
"BLR",2020,0.380102,0,0.3797
"BEL",2020,0.201071,0,0.1998
"BEN",2020,0.828907,0,0.8267
"BOL",2020,0.390952,0,0.3889
"BIH",2020,0.73547,0,0.7324
"BWA",2020,1.423406,0,1.417
"BRN",2020,0.719092,0,0.7184
"BGR",2020,0.447703,0,0.4455
"DNK",2020,0.169423,0,0.1686
"DOM",2020,0.561583,0,0.5596
"ECU",2020,0.198369,0,0.1977
"EGY",2020,0.485692,0,0.485
"SLV",2020,0.170964,0,0.1655
"GNQ",2020,0.367202,0,0.3668
"ERI",2020,0.792386,0,0.7898
"EST",2020,0.848471,0,0.8466
"FRA",2020,0.05509,0,0.0548
"GAB",2020,0.603049,0,0.6016
"GEO",2020,0.083289,0,0.0832
"DEU",2020,0.401237,0,0.3993
"GHA",2020,0.230501,0,0.2303
,2020,0.743496,0,0.7412
"GRC",2020,0.545725,0,0.5439
"GTM",2020,0.381283,0,0.3729
"HTI",2020,0.819886,0,0.8173
"IND",2020,0.751519,0,0.747
"IDN",2020,0.765575,0,0.7613
"IRN",2020,0.524792,0,0.5241
"IRQ",2020,1.043987,0,1.0412
"IRL",2020,0.331326,0,0.3299
"ISR",2020,0.494769,0,0.4933
"ITA",2020,0.307936,0,0.3068
"JAM",2020,0.580016,0,0.5783
"KAZ",2020,0.638658,0,0.6363
"KEN",2020,0.162481,0,0.1617
"KOR",2020,0.534714,0,0.5328
,2020,1.021938,0,1.0176
"KWT",2020,0.62546,0,0.6241
"KGZ",2020,0.048378,0,0.0482
"LBN",2020,0.724796,0,0.7225
"LBY",2020,0.644259,0,0.6431
"LTU",2020,0.068891,0,0.0684
"LUX",2020,0.156723,0,0.1536
"MYS",2020,0.66167,0,0.6592
"MDA",2020,0.486791,0,0.4863
"MNG",2020,1.201549,0,1.1965
"MOZ",2020,0.0698,0,0.0698
"NZL",2020,0.108489,0,0.1084
"NGA",2020,0.415002,0,0.4146
"NOR",2020,0.0086,0,0.0086
"PAN",2020,0.174447,0,0.1734
"PRY",2020,0,0,0
"PER",2020,0.19958,0,0.199
"PRT",2020,0.296793,0,0.2951
"QAT",2020,0.476891,0,0.4764
"RUS",2020,0.356846,0,0.356
,2020,0.733881,0,0.7309
"ZAF",2020,0.895371,0,0.8913
"ESP",2020,0.259425,0,0.2582
"USA",2016,0.47584,7.6,0.473389
"USA",2016,0.46101,2.5,0.458891
"USA",2016,0.525581,30.7,0.522545
"USA",2016,0.759868,9.7,0.754273
"USA",2016,0.297287,11.1,0.295379
"USA",2016,0.288973,0.9,0.288398
"USA",2016,0.537956,8.8,0.534477
"USA",2016,0.345688,3.3,0.343903
"USA",2018,0.763212,10.7,0.757473
"USA",2018,0.27114,0.9,0.270529
"USA",2018,0.541177,10.3,0.537162
"USA",2016,0.381994,1.8,0.380513
"USA",2016,0.580097,6.8,0.576989
"USA",2016,0.567658,3.9,0.564014
"USA",2016,0.624494,16.2,0.620409
"USA",2016,0.645085,19.9,0.640631
"USA",2016,0.569193,18.7,0.566232
"USA",2018,0.326577,3.2,0.324756
"USA",2018,0.599279,7.8,0.595367
"USA",2018,0.53253,4.3,0.528932
"USA",2018,0.58148,17.2,0.577702
"USA",2019,0.700047,2.36,0.697311
"USA",2016,0.367469,4.1,0.365271
"USA",2018,0.473999,3.5,0.47157
"USA",2018,0.424599,18,0.422599
"USA",2018,0.389349,1.7,0.38766
"USA",2018,0.760575,4.3,0.754845
"USA",2018,0.468774,4.6,0.46626
"USA",2018,0.470886,1,0.467897
"USA",2018,0.339066,5.4,0.337168
"USA",2019,0.508392,3.3,0.505483
"USA",2019,0.250054,1.9,0.249164
"USA",2019,0.206498,28.88,0.205572
"USA",2019,0.367226,1.46,0.365938
"USA",2019,0.542314,19.97,0.537776
"AUS",2019,0.748519,4,0
"AUS",2019,0.574684,13,0
,2019,0.046557,33,0
"BGR",2019,0.371182,7,0
"BOL",2019,0.450321,3,0
"BRA",2019,0.109016,1,0
"BRA",2019,0.169408,7,0
"BRA",2019,0.145575,48,0
"BRA",2019,0.112833,6,0
"CAN",2019,0.572175,5,0
"CAN",2019,0.524031,19,0
"CAN",2019,0.052897,7,0
"CAN",2019,0.122671,0,0
"CHL",2019,0.419869,15,0
"CHL",2019,0.313761,13,0
"CRI",2019,0.054478,27,0
"CYP",2019,0.588193,9,0
"CZE",2019,0.426954,9,0
"DEU",2019,0.317847,40,0
"DNK",2019,0.05911,67,0
"EST",2019,0.664892,19,0
"ESP",2019,0.579668,12,0
"ESP",2019,0.493937,16,0
"ESP",2019,0.540937,9,0
"ESP",2019,0.513169,16,0
"ESP",2019,0.559837,3,0
"ESP",2019,0.207122,28,0
"FIN",2019,0.180616,17,0
"FRO",2019,0.399736,14,0
"GBR",2019,0.364097,31,0
"GEO",2019,0.155163,1,0
"GRC",2019,0.437755,21,0
"GTM",2019,0.412169,18,0
"HRV",2019,0.246424,11,0
"IND",2019,0.57069,21,0
"IND",2019,0.812385,0,0
"IND",2019,0.460313,37,0
"IND",2019,0.66439,0,0
"IND",2019,0.631098,0,0
"ITA",2019,0.506623,23,0
"JPN",2019,0.523381,14,0
"JPN",2019,0.533669,11,0
"JPN",2019,0.606219,8,0
"KOR",2019,0.503575,0,0
"LTU",2019,0.245359,33,0
"LVA",2019,0.409463,14,0
"NAM",2019,0.187485,29,0
"NIC",2019,0.304999,52,0
"NLD",2019,0.475017,12,0
"NOR",2019,0.037921,5,0
"NOR",2019,0.050343,10,0
"NOR",2019,0.038337,8,0
"NOR",2019,0.05859,4,0
"NOR",2019,0.039704,1,0
"NZL",2019,0.177583,36,0
"PRT",2019,0.274624,37,0
"REU",2019,0.502691,24,0
,2019,0.558618,1,0
"RUS",2019,0.367767,0,0
"SVN",2019,0.232725,8,0
"UKR",2019,0.289834,0,0
"USA",2019,0.077013,7,0
"USA",2019,0.299295,24,0
"USA",2019,0.315752,6,0
"USA",2019,0.404258,1,0
"USA",2019,0.155294,0,0
"USA",2019,0.390579,2,0
"USA",2019,0.635035,0,0
"USA",2019,0.4054,3,0
"USA",2019,0.551621,1,0
"USA",2019,0.551586,3,0
"USA",2019,0.71285,0,0
"USA",2019,0.02659,0,0
"USA",2019,0.030535,0,0
"USA",2019,0.549193,10,0
"USA",2019,0.191256,6,0
"USA",2019,0.534494,22,0
"USA",2019,0.091557,4,0
"USA",2019,0.098053,5,0
"USA",2019,0.561163,8,0
"USA",2019,0.311531,10,0
"USA",2019,0.012465,100,0
"USA",2019,0.380153,3,0
"USA",2019,0.661703,0,0
"USA",2019,0.437588,1,0
"USA",2019,0.265975,3,0
"USA",2019,0.520542,8,0
"USA",2019,0.287944,0,0
"URY",2019,0.046497,31,0
"MEX",2019,0.467626,0,0.4662
"MDA",2019,0.482491,0,0.482
"MNG",2019,1.264828,0,1.2594
"MNG",2019,1.199649,0,1.1946
"MNE",2019,0.504268,0,0.5022
"MNE",2019,0.388424,0,0.3868
"MAR",2019,0.689226,0,0.6864
"NAM",2019,0.058767,0,0.0585
"MAR",2019,0.683525,0,0.6809
"MOZ",2019,0.0699,0,0.0699
"NAM",2019,0.054667,0,0.0544
"PAN",2019,0.187458,0,0.1865
"PAN",2019,0.242526,0,0.2411
"PHL",2019,0.671804,0,0.6688
"PRY",2019,0.0001,0,0.0001
"PER",2019,0.22247,0,0.2216
"PER",2019,0.265469,0,0.2648
"DZA",2019,0.496891,0,0.4964
"DZA",2019,0.509991,0,0.5095
"AGO",2019,0.611217,0,0.6093
"ARG",2019,0.35197,0,0.3511
"BEN",2019,0.684707,0,0.6825
"BOL",2019,0.433973,0,0.4323
"BOL",2019,0.485263,0,0.4833
"BIH",2019,0.860403,0,0.8568
"BWA",2019,1.424506,0,1.4181
"AUT",2019,0.161581,0,0.1608
"AUT",2019,0.14737,0,0.1465
"AZE",2019,0.488281,0,0.4875
"AZE",2019,0.479681,0,0.4789
"BHR",2019,0.698492,0,0.6978
"BGD",2019,0.505092,0,0.5044
"BGD",2019,0.525092,0,0.5244
"BLR",2019,0.376402,0,0.376
"BLR",2019,0.378502,0,0.3781
"BWA",2019,1.353839,0,1.3477
"CMR",2019,0.26918,0,0.2686
"CMR",2019,0.25928,0,0.2587
"CAN",2019,0.142557,0,0.142
"CAN",2019,0.149546,0,0.1487
"CHL",2019,0.436724,0,0.4351
"CHL",2019,0.444536,0,0.4428
"CHN",2019,0.625704,0,0.6227
"CHN",2019,0.626304,0,0.6233
"CHN",2019,0.630604,0,0.6276
"CRI",2019,0.0024,0,0.0024
"HRV",2019,0.230512,0,0.2296
"CUB",2019,0.511809,0,0.5092
"COG",2019,0.332802,0,0.3324
"DOM",2019,0.580494,0,0.5786
"ECU",2019,0.179469,0,0.1788
"SLV",2019,0.167875,0,0.1625
"SLV",2019,0.269483,0,0.265
"ERI",2019,0.860875,0,0.8582
"EST",2019,0.864259,0,0.8625
"EST",2019,0.875559,0,0.8738
"ETH",2019,0.0003,0,0.0003
"ETH",2019,0.0003,0,0.0003
"FIN",2019,0.105869,0,0.1052
"FRA",2019,0.069379,0,0.069
"GAB",2019,0.409381,0,0.4086
"GEO",2019,0.094389,0,0.0943
"GEO",2019,0.092489,0,0.0924
"DEU",2019,0.418637,0,0.4167
"DEU",2019,0.448815,0,0.4467
"GHA",2019,0.248691,0,0.2482
"HTI",2019,0.886875,0,0.884
"HND",2019,0.317998,0,0.3153
"HND",2019,0.339799,0,0.3367
"ISL",2019,0.0003,0,0.0003
"IND",2019,0.72253,0,0.7181
"IND",2019,0.72793,0,0.7235
"IDN",2019,0.771504,0,0.7685
"IDN",2019,0.733926,0,0.7311
"IRQ",2019,1.066465,0,1.0633
"IRL",2019,0.379803,0,0.3784
"IRL",2019,0.414292,0,0.4128
"ISR",2019,0.557058,0,0.5555
"KEN",2019,0.18517,0,0.1843
"KEN",2019,0.18827,0,0.1874
"KWT",2019,0.666327,0,0.6647
"KGZ",2019,0.050878,0,0.0507
"LUX",2019,0.176023,0,0.1727
"LUX",2019,0.206324,0,0.2028
"MKD",2019,0.716303,0,0.7135
"MEX",2019,0.478637,0,0.4773
"NLD",2019,0.438693,0,0.437
"NZL",2019,0.101189,0,0.1011
"NIC",2019,0.353507,0,0.3455
"NER",2019,0.953995,0,0.9503
"NER",2019,0.953995,0,0.9503
"NGA",2019,0.415902,0,0.4155
"PRK",2019,0.215523,0,0.2147
"SDN",2020,0.319847,0,0.3188
"SUR",2020,0.474838,0,0.4733
"SWE",2020,0.013389,0,0.0133
"CHE",2020,0.026191,0,0.0257
,2020,0.659049,0,0.6576
,2020,0.558803,0,0.5568
"TGO",2020,0.542448,0,0.5412
"TTO",2020,0.535991,0,0.5355
"TUN",2020,0.428402,0,0.428
"TUR",2020,0.465947,0,0.4643
"TKM",2020,0.891093,0,0.8902
"ARE",2020,0.520191,0,0.5197
"GBR",2020,0.229351,0,0.2275
"UKR",2020,0.382635,0,0.3811
"URY",2020,0.022492,0,0.0218
"USA",2020,0.412658,0,0.4111
"UZB",2020,0.468769,0,0.4681
"VEN",2020,0.314569,0,0.3139
"VNM",2020,0.454613,0,0.4529
"YEM",2020,0.691018,0,0.6889
"ZMB",2020,0.166734,0,0.166
"LKA",2019,0.631271,0,0.6286
"LKA",2019,0.609471,0,0.6068
"SDN",2019,0.318747,0,0.3177
"SDN",2019,0.331247,0,0.3302
"PHL",2019,0.609348,0,0.6067
"POL",2019,0.712582,0,0.7094
"POL",2019,0.722871,0,0.7196
"QAT",2019,0.486891,0,0.4864
"QAT",2019,0.486891,0,0.4864
"ROU",2019,0.343768,0,0.3425
"ROU",2019,0.325179,0,0.324
"RUS",2019,0.351346,0,0.3505
"RUS",2019,0.359235,0,0.3583
"SAU",2019,0.715138,0,0.7136
"SGP",2019,0.394961,0,0.3934
"SWE",2019,0.012689,0,0.0126
"SWE",2019,0.012289,0,0.0122
"KOR",2019,0.539303,0,0.5373
"ESP",2019,0.247025,0,0.2458
"CHE",2019,0.028391,0,0.0279
,2019,0.64996,0,0.6486
"TJK",2019,0.020789,0,0.0207
"THA",2019,0.477126,0,0.4726
"TUN",2019,0.434302,0,0.4339
"TUR",2019,0.462758,0,0.4612
"TUR",2019,0.465846,0,0.4644
"TKM",2019,0.893993,0,0.8931
"TKM",2019,0.893993,0,0.8931
"UKR",2019,0.362846,0,0.3614
"UKR",2019,0.423513,0,0.4218
"USA",2019,0.422747,0,0.4211
"USA",2019,0.434847,0,0.4332
"URY",2019,0.014381,0,0.0136
"URY",2019,0.026981,0,0.0262
"UZB",2019,0.545358,0,0.5446
"UZB",2019,0.550058,0,0.5493
"VNM",2019,0.361568,0,0.3603
"VNM",2019,0.439335,0,0.4378
"ZMB",2019,0.132246,0,0.1316
"ZMB",2019,0.053378,0,0.0532
"ZWE",2019,0.870273,0,0.8658
"ALB",2020,0,0,0
"DZA",2020,0.504491,0,0.504
"AGO",2020,0.520127,0,0.5185
"ARG",2020,0.321981,0,0.3212
"AUS",2020,0.711714,0,0.709
"AZE",2020,0.458192,0,0.4575
"KHM",2020,0.405715,0,0.4036
"CMR",2020,0.30078,0,0.3002
"CAN",2020,0.131869,0,0.1312
"CHL",2020,0.401535,0,0.4
"COL",2020,0.160458,0,0.1597
"COG",2020,0.381491,0,0.381
"CRI",2020,0.0093,0,0.0093
"CIV",2020,0.327392,0,0.3267
"HRV",2020,0.145468,0,0.145
,2020,0.568528,0,0.5667
"CYP",2020,0.648806,0,0.6468
"CZE",2020,0.495379,0,0.4934
"ETH",2020,0.0003,0,0.0003
"FIN",2020,0.117646,0,0.1168
"HND",2020,0.319582,0,0.3153
,2020,0.738003,0,0.7352
"HUN",2020,0.253816,0,0.2521
"ISL",2020,0.0001,0,0.0001
"JOR",2020,0.440991,0,0.4405
"PRK",2020,0.186834,0,0.1861
"LAO",2020,0.409613,0,0.4079
"LVA",2020,0.143601,0,0.1434
"MLT",2020,0.358802,0,0.3584
"MUS",2020,0.795609,0,0.7883
"MEX",2020,0.456225,0,0.455
"MNE",2020,0.394324,0,0.3927
"MAR",2020,0.634925,0,0.6323
"MMR",2020,0.353057,0,0.3525
"NAM",2020,0.024089,0,0.024
"NPL",2020,0,0,0
"NLD",2020,0.417692,0,0.4162
"NIC",2020,0.297816,0,0.2903
"NER",2020,0.949307,0,0.9457
"MKD",2020,0.621736,0,0.6192
"OMN",2020,0.447591,0,0.4471
"PAK",2020,0.392836,0,0.3917
"PHL",2020,0.702204,0,0.6992
"POL",2020,0.709382,0,0.7062
"ROU",2020,0.334779,0,0.3336
"SAU",2020,0.517758,0,0.5168
"SEN",2020,0.805912,0,0.8019
"SGP",2020,0.389072,0,0.3876
"SVK",2020,0.159257,0,0.1587
"SVN",2020,0.25359,0,0.2525
"LKA",2020,0.528093,0,0.5256
"SSD",2020,0.775886,0,0.7733
"USA",2016,0.761714,7.3,0.756688
"USA",2016,0.565822,22.4,0.561917
"USA",2016,0.255698,11.4,0.253175
"USA",2016,0.134237,6.9,0.133656
"USA",2018,0.424628,3.5,0.422676
"USA",2018,0.507604,23.4,0.5038
"USA",2018,0.766412,7.4,0.761135
"USA",2018,0.566628,23.3,0.562385
"USA",2018,0.239299,12.2,0.236917
"USA",2018,0.291824,11.4,0.289862
"USA",2018,0.115162,6.9,0.11481
"USA",2018,0.531431,28.1,0.527612
"USA",2018,0.531952,24.2,0.529152
"USA",2019,0.552897,12.05,0.548381
"USA",2019,0.105707,7.34,0.105372
"USA",2019,0.316827,3.18,0.315262
"USA",2016,0.735937,3.6,0.731458
"USA",2016,0.496737,3.8,0.494131
"USA",2016,0.540971,0.9,0.537703
"USA",2018,0.239026,2.3,0.238173
"USA",2018,0.466088,10,0.463732
"USA",2018,0.2262,29.2,0.225225
"USA",2019,0.434034,10.67,0.431965
"USA",2019,0.542948,7.71,0.539473
"USA",2019,0.487344,5.09,0.484291
"USA",2019,0.567241,18.95,0.563638
"USA",2019,0.488789,31.69,0.48533
"USA",2019,0.456641,26.94,0.454492
"USA",2019,0.723906,4.15,0.718667
"USA",2019,0.44179,4.94,0.439605
"USA",2019,0.433447,1.02,0.430774
"USA",2019,0.395709,19.54,0.394008
"USA",2019,0.392146,3.85,0.390555
"USA",2019,0.774543,10.9,0.76863
"USA",2019,0.686103,8.14,0.681549
"USA",2019,0.501876,26.5,0.498204
"USA",2019,0.223997,12.74,0.221756
"USA",2019,0.326529,11.15,0.324428
"USA",2019,0.251769,0.93,0.2512
"USA",2019,0.308053,5.84,0.306364
"USA",2019,0.072013,7,0
