"SBQQ__Contract__c.BillingCountry","SBQQ__SubscriptionStartDate__c","SBQQ__Contract__c.SBQQ__RenewalOpportunity__c.Name","SBQQ__BillingType__c","DaysToExpirationBucket","SBQQ__Contract__c.AccountId.Name","SBQQ__Contract__c.SBQQ__AmendmentRenewalBehavior__c","SBQQ__ProductName__c","SBQQ__CreditProductId__c","Quote.SBQQ__Renewal__c","SBQQ__SubscriptionEndDate__c","IsDeleted","SBQQ__Contract__c.SBQQ__RenewalOpportunity__c.IsWon","SBQQ__ChargeType__c","SBQQ__ComponentSubscriptionScope__c","SBQQ__Contract__c.CustomerSignedDate","Id","Quote.SBQQ__RenewedSubscription__c","SBQQ__DimensionType__c","SBQQ__Contract__c.SBQQ__RenewalForecast__c","SBQQ__RenewedDate__c","SBQQ__Contract__c","SBQQ__TerminatedDate__c","SBQQ__Contract__c.BillingState","SBQQ__DynamicOptionId__c","RenewalQuote.SBQQ__Quote__c","SBQQ__EndDate__c","SBQQ__Contract__c.AccountId","SBQQ__Contract__c.SBQQ__AmendmentStartDate__c","SBQQ__Contract__c.SBQQ__RenewalQuoted__c","SBQQ__SegmentKey__c","SBQQ__Bundled__c","SBQQ__OptionType__c","Quote.Id","SBQQ__Contract__c.ActivatedDate","Quote.Name","SBQQ__Contract__c.BillingCity","SBQQ__Contract__c.SBQQ__AmendmentOpportunityStage__c","HasRenewal","Name","RenewalQuote.SBQQ__RenewedSubscription__c","SBQQ__Contract__c.StartDate","SBQQ__Contract__c.CustomerSignedTitle","SBQQ__Contract__c.SBQQ__RenewalOpportunity__c.Id","SBQQ__Contract__c.StatusCode","SBQQ__Contract__c.CreatedDate","RenewalQuote.SBQQ__Renewal__c","SBQQ__Contract__c.CompanySignedDate","RenewalQuote.Name","SBQQ__StartDate__c","RenewalStatus","SBQQ__Contract__c.SBQQ__RenewalOpportunity__c.IsClosed","SBQQ__QuoteLine__c","SBQQ__Contract__c.SBQQ__AmendmentOpportunityRecordTypeId__c","SBQQ__Contract__c.ContractNumber","Active","RenwalWarning","SBQQ__ContractNumber__c","CreatedDate","SBQQ__Contract__c.SBQQ__RenewalOpportunity__c","SBQQ__Contract__c.SBQQ__RenewalOpportunity__c.StageName","SBQQ__Contract__c.SBQQ__SubscriptionQuantitiesCombined__c","RenewalQuote.Id","SBQQ__ComponentDiscountedByPackage__c","IsRenewal","SBQQ__SegmentEndDate__c","SBQQ__Contract__c.EndDate","SBQQ__Contract__c.Status","SBQQ__BillingFrequency__c","Quote.SBQQ__Quote__c","SBQQ__Bundle__c","SBQQ__PricingMethod__c","SBQQ__SegmentLabel__c","SBQQ__SegmentStartDate__c","SBQQ__DiscountScheduleType__c","SBQQ__RenewalQuantity__c","SBQQ__Contract__c.SBQQ__RenewalOpportunity__c.Amount","SBQQ__RenewalPrice__c","SBQQ__Discount__c","SBQQ__ListPrice__c","SBQQ__SegmentIndex__c","SBQQ__Contract__c.SBQQ__ActiveContract__c","SBQQ__Contract__c.SBQQ__RenewalOpportunity__c.Probability","SBQQ__OptionLevel__c","SBQQ__NetPrice__c","SBQQ__RegularPrice__c","ARR","SBQQ__Quantity__c","DaysToExpiration","MRR","SBQQ__Contract__c.SBQQ__RenewalUpliftRate__c","SBQQ__OptionDiscount__c","SBQQ__Number__c","SBQQ__SegmentUplift__c","SBQQ__SegmentUpliftAmount__c","SBQQ__UnitCost__c","SBQQ__BundledQuantity__c","SBQQ__ProrateMultiplier__c","SBQQ__CustomerPrice__c","SBQQ__MarkupRate__c","SBQQ__DistributorDiscount__c","SBQQ__SegmentQuantity__c","SBQQ__OptionDiscountAmount__c","SBQQ__MarkupAmount__c","SBQQ__PartnerDiscount__c","SBQQ__AdditionalDiscountAmount__c","SBQQ__RenewalUpliftRate__c","SBQQ__Contract__c.SBQQ__RenewalTerm__c","SBQQ__OriginalUnitCost__c","SBQQ__SpecialPrice__c","SBQQ__Contract__c.ContractTerm"
,,"Stat One Research: eFact Silver",,"Less than 30 Days","Stat One Research","Latest End Date","eFact Gold",,,,"false","false",,,,"a2lB0000000UXUkIAO",,,"false",,"800B0000000PbMtIAK",,,,,"2019-12-05","001B000001KM6eMIAT",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000293",,"2019-06-06",,"006B0000005coAdIAI","Activated","2020-08-05T21:48:23.000Z",,,,"2019-06-06","Negotiation","false",,,"00000438","false","false","00000438","2020-08-07T18:32:59.000Z","006B0000005coAdIAI","Negotiation","false",,"false","false",,"2019-12-05","Activated",,,"false","List",,,,,250,,,,,0,90,,,,500,1,-246,41.67,,,,,,,,,250,,,,,,,,,,,,6
,,"Stat One Research: eFact Silver",,"Less than 30 Days","Stat One Research","Latest End Date","eFact Gold",,,,"false","true",,,,"a2lB0000000UXUjIAO",,,"false",,"800B0000000PbMsIAK",,,,,"2018-11-28","001B000001KM6eMIAT",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000292",,"2018-08-29",,"006B0000005coAcIAI","Activated","2020-08-05T21:48:23.000Z",,,,"2018-08-29","Closed Won","true",,,"00000437","false","false","00000437","2020-08-07T18:32:59.000Z","006B0000005coAcIAI","Closed Won","false",,"false","false",,"2018-11-28","Activated",,,"false","List",,,,,250,,,,,0,100,,,,1000,1,-618,83.33,,,,,,,,,250,,,,,,,,,,,,3
,,"Stat One Research: eFact Gold",,"Less than 30 Days","Stat One Research","Latest End Date","eFact Silver",,,,"false","true",,,,"a2lB0000000UXUiIAO",,,"false",,"800B0000000PbMrIAK",,,,,"2019-06-30","001B000001KM6eMIAT",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000291",,"2018-12-31",,"006B0000005coAbIAI","Activated","2020-08-05T21:48:23.000Z",,,,"2018-12-31","Closed Won","true",,,"00000436","false","false","00000436","2020-08-07T18:32:59.000Z","006B0000005coAbIAI","Closed Won","false",,"false","false",,"2019-06-30","Activated",,,"false","List",,,,,500,,,,,0,100,,,,1000,1,-404,83.33,,,,,,,,,500,,,,,,,,,,,,6
,,"Stat One Research: eFact Gold",,"Less than 30 Days","Stat One Research","Latest End Date","eFact Silver",,,,"false","true",,,,"a2lB0000000UXUhIAO",,,"false",,"800B0000000PbMqIAK",,,,,"2020-02-29","001B000001KM6eMIAT",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000290",,"2019-03-01",,"006B0000005coAaIAI","Activated","2020-08-05T21:48:23.000Z",,,,"2019-03-01","Closed Won","true",,,"00000435","false","false","00000435","2020-08-07T18:32:59.000Z","006B0000005coAaIAI","Closed Won","false",,"false","false",,"2020-02-29","Activated",,,"false","List",,,,,500,,,,,0,100,,,,500,1,-160,41.67,,,,,,,,,500,,,,,,,,,,,,12
,,"donco: eFact Bronze",,"Less than 180 Days","donco","Latest End Date","eFact Bronze",,,,"false","true",,,,"a2lB0000000UXTdIAO",,,"false",,"800B0000000PbLlIAK",,,,,"2020-12-06","001B000001KM6eIIAT",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000224",,"2018-12-07",,"006B0000005co80IAA","Activated","2020-08-05T21:48:23.000Z",,,,"2018-12-07","Closed Won","true",,,"00000368","true","false","00000368","2020-08-07T18:32:59.000Z","006B0000005co80IAA","Closed Won","false",,"false","false",,"2020-12-06","Activated",,,"false","List",,,,,100,,,,,1,100,,,,50,1,120,4.17,,,,,,,,,100,,,,,,,,,,,,24
,,"Diversified Telecommunications: eFact Silver",,"Less than 30 Days","Diversified Telecommunications","Latest End Date","eFact Gold",,,,"false","true",,,,"a2lB0000000UXTcIAO",,,"false",,"800B0000000PbLkIAK",,,,,"2020-03-10","001B000001KM6ehIAD",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000223",,"2019-03-11",,"006B0000005co7zIAA","Activated","2020-08-05T21:48:23.000Z",,,,"2019-03-11","Closed Won","true",,,"00000367","false","false","00000367","2020-08-07T18:32:59.000Z","006B0000005co7zIAA","Closed Won","false",,"false","false",,"2020-03-10","Activated",,,"false","List",,,,,250,,,,,0,100,,,,250,1,-150,20.83,,,,,,,,,250,,,,,,,,,,,,12
,,"Diversified Telecommunications: eFact Silver",,"Less than 30 Days","Diversified Telecommunications","Latest End Date","eFact Gold",,,,"false","true",,,,"a2lB0000000UXTbIAO",,,"false",,"800B0000000PbLjIAK",,,,,"2020-04-22","001B000001KM6ehIAD",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000222",,"2019-04-23",,"006B0000005co7yIAA","Activated","2020-08-05T21:48:23.000Z",,,,"2019-04-23","Closed Won","true",,,"00000366","false","false","00000366","2020-08-07T18:32:59.000Z","006B0000005co7yIAA","Closed Won","false",,"false","false",,"2020-04-22","Activated",,,"false","List",,,,,250,,,,,0,100,,,,250,1,-107,20.83,,,,,,,,,250,,,,,,,,,,,,12
,,"Diversified Telecommunications: eFact Silver",,"More than 365 Days","Diversified Telecommunications","Latest End Date","eFact Gold",,,,"false","true",,,,"a2lB0000000UXTaIAO",,,"false",,"800B0000000PbLiIAK",,,,,"2023-05-03","001B000001KM6ehIAD",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000221",,"2019-05-04",,"006B0000005co7xIAA","Activated","2020-08-05T21:48:23.000Z",,,,"2019-05-04","Closed Won","true",,,"00000365","true","false","00000365","2020-08-07T18:32:59.000Z","006B0000005co7xIAA","Closed Won","false",,"false","false",,"2023-05-03","Activated",,,"false","List",,,,,250,,,,,1,100,,,,62.5,1,998,5.21,,,,,,,,,250,,,,,,,,,,,,48
,,"Digital Bungalow Inc: eFact Platinum",,"Less than 30 Days","Digital Bungalow Inc","Latest End Date","eFact Platinum",,,,"false","true",,,,"a2lB0000000UXTZIA4",,,"false",,"800B0000000PbLhIAK",,,,,"2020-01-28","001B000001KM6faIAD",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000220",,"2019-07-29",,"006B0000005co7wIAA","Activated","2020-08-05T21:48:23.000Z",,,,"2019-07-29","Closed Won","true",,,"00000364","false","false","00000364","2020-08-07T18:32:59.000Z","006B0000005co7wIAA","Closed Won","false",,"false","false",,"2020-01-28","Activated",,,"false","List",,,,,1000,,,,,0,100,,,,2000,1,-192,166.67,,,,,,,,,1000,,,,,,,,,,,,6
,,"Digital Bungalow Inc: eFact Gold",,"Less than 180 Days","Digital Bungalow Inc","Latest End Date","eFact Silver",,,,"false","true",,,,"a2lB0000000UXTYIA4",,,"false",,"800B0000000PbLgIAK",,,,,"2020-11-13","001B000001KM6faIAD",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000219",,"2018-11-14",,"006B0000005co7vIAA","Activated","2020-08-05T21:48:23.000Z",,,,"2018-11-14","Closed Won","true",,,"00000363","true","false","00000363","2020-08-07T18:32:59.000Z","006B0000005co7vIAA","Closed Won","false",,"false","false",,"2020-11-13","Activated",,,"false","List",,,,,500,,,,,1,100,,,,250,1,97,20.83,,,,,,,,,500,,,,,,,,,,,,24
,,"Digital Bungalow Inc: eFact Bronze",,"Less than 365 Days","Digital Bungalow Inc","Latest End Date","eFact Bronze",,,,"false","true",,,,"a2lB0000000UXTXIA4",,,"false",,"800B0000000PbLfIAK",,,,,"2021-02-26","001B000001KM6faIAD",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000218",,"2019-02-27",,"006B0000005co7uIAA","Activated","2020-08-05T21:48:23.000Z",,,,"2019-02-27","Closed Won","true",,,"00000362","true","false","00000362","2020-08-07T18:32:59.000Z","006B0000005co7uIAA","Closed Won","false",,"false","false",,"2021-02-26","Activated",,,"false","List",,,,,100,,,,,1,100,,,,50,1,202,4.17,,,,,,,,,100,,,,,,,,,,,,24
,,"DeepData: eFact Bronze",,"Less than 30 Days","DeepData","Latest End Date","eFact Bronze",,,,"false","true",,,,"a2lB0000000UXTWIA4",,,"false",,"800B0000000PbLeIAK",,,,,"2019-01-20","001B000001KM6eCIAT",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000217",,"2018-10-21",,"006B0000005co7tIAA","Activated","2020-08-05T21:48:23.000Z",,,,"2018-10-21","Closed Won","true",,,"00000361","false","false","00000361","2020-08-07T18:32:59.000Z","006B0000005co7tIAA","Closed Won","false",,"false","false",,"2019-01-20","Activated",,,"false","List",,,,,100,,,,,0,100,,,,400,1,-565,33.33,,,,,,,,,100,,,,,,,,,,,,3
,,"Decision Support Systems L.P.: eFact Bronze",,"Less than 30 Days","Decision Support Systems, L.P.","Latest End Date","eFact Bronze",,,,"false","true",,,,"a2lB0000000UXTVIA4",,,"false",,"800B0000000PbLdIAK",,,,,"2019-11-13","001B000001KM6exIAD",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000216",,"2019-05-14",,"006B0000005co7sIAA","Activated","2020-08-05T21:48:23.000Z",,,,"2019-05-14","Closed Won","true",,,"00000360","false","false","00000360","2020-08-07T18:32:59.000Z","006B0000005co7sIAA","Closed Won","false",,"false","false",,"2019-11-13","Activated",,,"false","List",,,,,100,,,,,0,100,,,,200,1,-268,16.67,,,,,,,,,100,,,,,,,,,,,,6
,,"DataViz: eFact Silver",,"Less than 30 Days","DataViz","Latest End Date","eFact Gold",,,,"false","true",,,,"a2lB0000000UXTUIA4",,,"false",,"800B0000000PbLcIAK",,,,,"2019-06-30","001B000001KM6etIAD",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000215",,"2019-03-31",,"006B0000005co7rIAA","Activated","2020-08-05T21:48:23.000Z",,,,"2019-03-31","Closed Won","true",,,"00000359","false","false","00000359","2020-08-07T18:32:59.000Z","006B0000005co7rIAA","Closed Won","false",,"false","false",,"2019-06-30","Activated",,,"false","List",,,,,250,,,,,0,100,,,,1000,1,-404,83.33,,,,,,,,,250,,,,,,,,,,,,3
,,"DataViz: eFact Gold",,"Less than 30 Days","DataViz","Latest End Date","eFact Silver",,,,"false","true",,,,"a2lB0000000UXTTIA4",,,"false",,"800B0000000PbLbIAK",,,,,"2019-12-03","001B000001KM6etIAD",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000214",,"2019-06-04",,"006B0000005co7qIAA","Activated","2020-08-05T21:48:23.000Z",,,,"2019-06-04","Closed Won","true",,,"00000358","false","false","00000358","2020-08-07T18:32:59.000Z","006B0000005co7qIAA","Closed Won","false",,"false","false",,"2019-12-03","Activated",,,"false","List",,,,,500,,,,,0,100,,,,1000,1,-248,83.33,,,,,,,,,500,,,,,,,,,,,,6
,,"Creative Networks: eFact Silver",,"Less than 30 Days","Creative Networks","Latest End Date","eFact Gold",,,,"false","true",,,,"a2lB0000000UXTSIA4",,,"false",,"800B0000000PbLaIAK",,,,,"2019-12-04","001B000001KM6fJIAT",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000213",,"2018-12-05",,"006B0000005co7pIAA","Activated","2020-08-05T21:48:23.000Z",,,,"2018-12-05","Closed Won","true",,,"00000357","false","false","00000357","2020-08-07T18:32:59.000Z","006B0000005co7pIAA","Closed Won","false",,"false","false",,"2019-12-04","Activated",,,"false","List",,,,,250,,,,,0,100,,,,250,1,-247,20.83,,,,,,,,,250,,,,,,,,,,,,12
,,"Creative Management Service: eFact Gold",,"Less than 30 Days","Creative Management Service","Latest End Date","eFact Silver",,,,"false","true",,,,"a2lB0000000UXTRIA4",,,"false",,"800B0000000PbLZIA0",,,,,"2019-09-18","001B000001KM6csIAD",,"false",,"false",,,"2020-08-05T21:48:42.000Z",,,,"false","SUB-0000212",,"2018-09-19",,"006B0000005co7oIAA","Activated","2020-08-05T21:48:23.000Z",,,,"2018-09-19","Closed Won","true",,,"00000356","false","false","00000356","2020-08-07T18:32:59.000Z","006B0000005co7oIAA","Closed Won","false",,"false","false",,"2019-09-18","Activated",,,"false","List",,,,,500,,,,,0,100,,,,500,1,-324,41.67,,,,,,,,,500,,,,,,,,,,,,12
