"Promotion.ProductCategory_Name","PromotionId","ProductCategoryId","Promotion.ProductId","Product_Name","ProductId","Id","Promotion.ProductCategoryId","ProductCategory_Name","Name"
"Product Category 9","0c8B0000000L08aIAC","0ZGB0000000L0ZrOAK","01tB0000000UI8XIAW","Whitezen",,"0c9B00000008PdRIAU","0ZGB0000000L0ZrOAK","Product Category 9","00000049"
"Product Category 6","0c8B0000000L08aIAC","0ZGB0000000L0ZoOAK","01tB0000000UI8iIAG","Neptune",,"0c9B00000008PdSIAU","0ZGB0000000L0ZoOAK","Product Category 6","00000050"
"Product Category 3","0c8B0000000L08aIAC","0ZGB0000000L0ZlOAK","01tB0000000UI8ZIAW","Kelloggs Chocos",,"0c9B00000008PdTIAU","0ZGB0000000L0ZlOAK","Product Category 3","00000051"
"Product Category 10","0c8B0000000L08aIAC","0ZGB0000000L0ZsOAK","01tB0000000UI8aIAG","Elliotte",,"0c9B00000008PdUIAU","0ZGB0000000L0ZsOAK","Product Category 10","00000052"
"Product Category 7","0c8B0000000L087IAC","0ZGB0000000L0ZpOAK","01tB0000000UI8WIAW","Orgma",,"0c9B00000008PdVIAU","0ZGB0000000L0ZpOAK","Product Category 7","00000053"
"Product Category 5","0c8B0000000L087IAC","0ZGB0000000L0ZnOAK","01tB0000000UI8gIAG","Laffayette",,"0c9B00000008PdWIAU","0ZGB0000000L0ZnOAK","Product Category 5","00000054"
"Product Category 1","0c8B0000000L087IAC","0ZGB0000000L0ZjOAK","01tB0000000UI8cIAG","Active care",,"0c9B00000008PdXIAU","0ZGB0000000L0ZjOAK","Product Category 1","00000055"
"Product Category 4","0c8B0000000L087IAC","0ZGB0000000L0ZmOAK","01tB0000000UI8fIAG","Lady link",,"0c9B00000008PdYIAU","0ZGB0000000L0ZmOAK","Product Category 4","00000056"
"Product Category 2","0c8B0000000L08YIAS","0ZGB0000000L0ZkOAK","01tB0000000UI8dIAG","Gentle",,"0c9B00000008PdZIAU","0ZGB0000000L0ZkOAK","Product Category 2","00000057"
"Product Category 8","0c8B0000000L08YIAS","0ZGB0000000L0ZqOAK","01tB0000000UI8VIAW","Soft Finger",,"0c9B00000008PdaIAE","0ZGB0000000L0ZqOAK","Product Category 8","00000058"
"Product Category 9","0c8B0000000L08YIAS","0ZGB0000000L0ZrOAK","01tB0000000UI8XIAW","Whitezen",,"0c9B00000008PdbIAE","0ZGB0000000L0ZrOAK","Product Category 9","00000059"
"Product Category 6","0c8B0000000L08YIAS","0ZGB0000000L0ZoOAK","01tB0000000UI8iIAG","Neptune",,"0c9B00000008PdcIAE","0ZGB0000000L0ZoOAK","Product Category 6","00000060"
"Product Category 3","0c8B0000000L08DIAS","0ZGB0000000L0ZlOAK","01tB0000000UI8ZIAW","Kelloggs Chocos",,"0c9B00000008PddIAE","0ZGB0000000L0ZlOAK","Product Category 3","00000061"
"Product Category 10","0c8B0000000L08DIAS","0ZGB0000000L0ZsOAK","01tB0000000UI8aIAG","Elliotte",,"0c9B00000008PdeIAE","0ZGB0000000L0ZsOAK","Product Category 10","00000062"
"Product Category 7","0c8B0000000L08DIAS","0ZGB0000000L0ZpOAK","01tB0000000UI8WIAW","Orgma",,"0c9B00000008PdfIAE","0ZGB0000000L0ZpOAK","Product Category 7","00000063"
"Product Category 5","0c8B0000000L08DIAS","0ZGB0000000L0ZnOAK","01tB0000000UI8gIAG","Laffayette",,"0c9B00000008PdgIAE","0ZGB0000000L0ZnOAK","Product Category 5","00000064"
"Product Category 1","0c8B0000000L08qIAC","0ZGB0000000L0ZjOAK","01tB0000000UI8cIAG","Active care",,"0c9B00000008PdhIAE","0ZGB0000000L0ZjOAK","Product Category 1","00000065"
"Product Category 4","0c8B0000000L08qIAC","0ZGB0000000L0ZmOAK","01tB0000000UI8fIAG","Lady link",,"0c9B00000008PdiIAE","0ZGB0000000L0ZmOAK","Product Category 4","00000066"
"Product Category 2","0c8B0000000L08qIAC","0ZGB0000000L0ZkOAK","01tB0000000UI8dIAG","Gentle",,"0c9B00000008PdjIAE","0ZGB0000000L0ZkOAK","Product Category 2","00000067"
"Product Category 8","0c8B0000000L08qIAC","0ZGB0000000L0ZqOAK","01tB0000000UI8VIAW","Soft Finger",,"0c9B00000008PdkIAE","0ZGB0000000L0ZqOAK","Product Category 8","00000068"
"Product Category 9","0c8B0000000L08fIAC","0ZGB0000000L0ZrOAK","01tB0000000UI8XIAW","Whitezen",,"0c9B00000008PdlIAE","0ZGB0000000L0ZrOAK","Product Category 9","00000069"
"Product Category 6","0c8B0000000L08fIAC","0ZGB0000000L0ZoOAK","01tB0000000UI8iIAG","Neptune",,"0c9B00000008PdmIAE","0ZGB0000000L0ZoOAK","Product Category 6","00000070"
"Product Category 3","0c8B0000000L08fIAC","0ZGB0000000L0ZlOAK","01tB0000000UI8ZIAW","Kelloggs Chocos",,"0c9B00000008PdnIAE","0ZGB0000000L0ZlOAK","Product Category 3","00000071"
"Product Category 10","0c8B0000000L08fIAC","0ZGB0000000L0ZsOAK","01tB0000000UI8aIAG","Elliotte",,"0c9B00000008PdoIAE","0ZGB0000000L0ZsOAK","Product Category 10","00000072"
"Product Category 7","0c8B0000000L08bIAC","0ZGB0000000L0ZpOAK","01tB0000000UI8WIAW","Orgma",,"0c9B00000008PdpIAE","0ZGB0000000L0ZpOAK","Product Category 7","00000073"
"Product Category 5","0c8B0000000L08bIAC","0ZGB0000000L0ZnOAK","01tB0000000UI8gIAG","Laffayette",,"0c9B00000008PdqIAE","0ZGB0000000L0ZnOAK","Product Category 5","00000074"
"Product Category 1","0c8B0000000L08bIAC","0ZGB0000000L0ZjOAK","01tB0000000UI8cIAG","Active care",,"0c9B00000008PdrIAE","0ZGB0000000L0ZjOAK","Product Category 1","00000075"
"Product Category 4","0c8B0000000L08bIAC","0ZGB0000000L0ZmOAK","01tB0000000UI8fIAG","Lady link",,"0c9B00000008PdsIAE","0ZGB0000000L0ZmOAK","Product Category 4","00000076"
"Product Category 2","0c8B0000000L08SIAS","0ZGB0000000L0ZkOAK","01tB0000000UI8dIAG","Gentle",,"0c9B00000008PdtIAE","0ZGB0000000L0ZkOAK","Product Category 2","00000077"
"Product Category 8","0c8B0000000L08SIAS","0ZGB0000000L0ZqOAK","01tB0000000UI8VIAW","Soft Finger",,"0c9B00000008PduIAE","0ZGB0000000L0ZqOAK","Product Category 8","00000078"
"Product Category 9","0c8B0000000L08SIAS","0ZGB0000000L0ZrOAK","01tB0000000UI8XIAW","Whitezen",,"0c9B00000008PdvIAE","0ZGB0000000L0ZrOAK","Product Category 9","00000079"
"Product Category 6","0c8B0000000L08SIAS","0ZGB0000000L0ZoOAK","01tB0000000UI8iIAG","Neptune",,"0c9B00000008PdwIAE","0ZGB0000000L0ZoOAK","Product Category 6","00000080"
"Product Category 3","0c8B0000000L08CIAS","0ZGB0000000L0ZlOAK","01tB0000000UI8ZIAW","Kelloggs Chocos",,"0c9B00000008PdxIAE","0ZGB0000000L0ZlOAK","Product Category 3","00000081"
"Product Category 10","0c8B0000000L08CIAS","0ZGB0000000L0ZsOAK","01tB0000000UI8aIAG","Elliotte",,"0c9B00000008PdyIAE","0ZGB0000000L0ZsOAK","Product Category 10","00000082"
"Product Category 7","0c8B0000000L08CIAS","0ZGB0000000L0ZpOAK","01tB0000000UI8WIAW","Orgma",,"0c9B00000008PdzIAE","0ZGB0000000L0ZpOAK","Product Category 7","00000083"
"Product Category 5","0c8B0000000L08CIAS","0ZGB0000000L0ZnOAK","01tB0000000UI8gIAG","Laffayette",,"0c9B00000008Pe0IAE","0ZGB0000000L0ZnOAK","Product Category 5","00000084"
"Product Category 1","0c8B0000000L08WIAS","0ZGB0000000L0ZjOAK","01tB0000000UI8cIAG","Active care",,"0c9B00000008Pe1IAE","0ZGB0000000L0ZjOAK","Product Category 1","00000085"
"Product Category 4","0c8B0000000L08WIAS","0ZGB0000000L0ZmOAK","01tB0000000UI8fIAG","Lady link",,"0c9B00000008Pe2IAE","0ZGB0000000L0ZmOAK","Product Category 4","00000086"
"Product Category 2","0c8B0000000L08WIAS","0ZGB0000000L0ZkOAK","01tB0000000UI8dIAG","Gentle",,"0c9B00000008Pe3IAE","0ZGB0000000L0ZkOAK","Product Category 2","00000087"
"Product Category 8","0c8B0000000L08WIAS","0ZGB0000000L0ZqOAK","01tB0000000UI8VIAW","Soft Finger",,"0c9B00000008Pe4IAE","0ZGB0000000L0ZqOAK","Product Category 8","00000088"
"Product Category 9","0c8B0000000L08mIAC","0ZGB0000000L0ZrOAK","01tB0000000UI8XIAW","Whitezen",,"0c9B00000008Pe5IAE","0ZGB0000000L0ZrOAK","Product Category 9","00000089"
"Product Category 6","0c8B0000000L08mIAC","0ZGB0000000L0ZoOAK","01tB0000000UI8iIAG","Neptune",,"0c9B00000008Pe6IAE","0ZGB0000000L0ZoOAK","Product Category 6","00000090"
"Product Category 3","0c8B0000000L08mIAC","0ZGB0000000L0ZlOAK","01tB0000000UI8ZIAW","Kelloggs Chocos",,"0c9B00000008Pe7IAE","0ZGB0000000L0ZlOAK","Product Category 3","00000091"
"Product Category 10","0c8B0000000L08mIAC","0ZGB0000000L0ZsOAK","01tB0000000UI8aIAG","Elliotte",,"0c9B00000008Pe8IAE","0ZGB0000000L0ZsOAK","Product Category 10","00000092"
"Product Category 7","0c8B0000000L08dIAC","0ZGB0000000L0ZpOAK","01tB0000000UI8WIAW","Orgma",,"0c9B00000008Pe9IAE","0ZGB0000000L0ZpOAK","Product Category 7","00000093"
"Product Category 5","0c8B0000000L08dIAC","0ZGB0000000L0ZnOAK","01tB0000000UI8gIAG","Laffayette",,"0c9B00000008PeAIAU","0ZGB0000000L0ZnOAK","Product Category 5","00000094"
"Product Category 1","0c8B0000000L08dIAC","0ZGB0000000L0ZjOAK","01tB0000000UI8cIAG","Active care",,"0c9B00000008PeBIAU","0ZGB0000000L0ZjOAK","Product Category 1","00000095"
"Product Category 4","0c8B0000000L08dIAC","0ZGB0000000L0ZmOAK","01tB0000000UI8fIAG","Lady link",,"0c9B00000008PeCIAU","0ZGB0000000L0ZmOAK","Product Category 4","00000096"
"Product Category 2","0c8B0000000L08cIAC","0ZGB0000000L0ZkOAK","01tB0000000UI8dIAG","Gentle",,"0c9B00000008PeDIAU","0ZGB0000000L0ZkOAK","Product Category 2","00000097"
"Product Category 8","0c8B0000000L08cIAC","0ZGB0000000L0ZqOAK","01tB0000000UI8VIAW","Soft Finger",,"0c9B00000008PeEIAU","0ZGB0000000L0ZqOAK","Product Category 8","00000098"
"Product Category 9","0c8B0000000L08cIAC","0ZGB0000000L0ZrOAK","01tB0000000UI8XIAW","Whitezen",,"0c9B00000008PeFIAU","0ZGB0000000L0ZrOAK","Product Category 9","00000099"
"Product Category 6","0c8B0000000L08cIAC","0ZGB0000000L0ZoOAK","01tB0000000UI8iIAG","Neptune",,"0c9B00000008PeGIAU","0ZGB0000000L0ZoOAK","Product Category 6","00000100"
"Product Category 3","0c8B0000000L08JIAS","0ZGB0000000L0ZlOAK","01tB0000000UI8ZIAW","Kelloggs Chocos",,"0c9B00000008PeHIAU","0ZGB0000000L0ZlOAK","Product Category 3","00000101"
"Product Category 10","0c8B0000000L08JIAS","0ZGB0000000L0ZsOAK","01tB0000000UI8aIAG","Elliotte",,"0c9B00000008PeIIAU","0ZGB0000000L0ZsOAK","Product Category 10","00000102"
"Product Category 7","0c8B0000000L08JIAS","0ZGB0000000L0ZpOAK","01tB0000000UI8WIAW","Orgma",,"0c9B00000008PeJIAU","0ZGB0000000L0ZpOAK","Product Category 7","00000103"
"Product Category 5","0c8B0000000L08JIAS","0ZGB0000000L0ZnOAK","01tB0000000UI8gIAG","Laffayette",,"0c9B00000008PeKIAU","0ZGB0000000L0ZnOAK","Product Category 5","00000104"
"Product Category 1","0c8B0000000L084IAC","0ZGB0000000L0ZjOAK","01tB0000000UI8cIAG","Active care",,"0c9B00000008PeLIAU","0ZGB0000000L0ZjOAK","Product Category 1","00000105"
"Product Category 4","0c8B0000000L084IAC","0ZGB0000000L0ZmOAK","01tB0000000UI8fIAG","Lady link",,"0c9B00000008PeMIAU","0ZGB0000000L0ZmOAK","Product Category 4","00000106"
"Product Category 2","0c8B0000000L084IAC","0ZGB0000000L0ZkOAK","01tB0000000UI8dIAG","Gentle",,"0c9B00000008PeNIAU","0ZGB0000000L0ZkOAK","Product Category 2","00000107"
"Product Category 8","0c8B0000000L084IAC","0ZGB0000000L0ZqOAK","01tB0000000UI8VIAW","Soft Finger",,"0c9B00000008PeOIAU","0ZGB0000000L0ZqOAK","Product Category 8","00000108"
"Product Category 9","0c8B0000000L08TIAS","0ZGB0000000L0ZrOAK","01tB0000000UI8XIAW","Whitezen",,"0c9B00000008PePIAU","0ZGB0000000L0ZrOAK","Product Category 9","00000109"
"Product Category 6","0c8B0000000L08TIAS","0ZGB0000000L0ZoOAK","01tB0000000UI8iIAG","Neptune",,"0c9B00000008PeQIAU","0ZGB0000000L0ZoOAK","Product Category 6","00000110"
"Product Category 3","0c8B0000000L08TIAS","0ZGB0000000L0ZlOAK","01tB0000000UI8ZIAW","Kelloggs Chocos",,"0c9B00000008PeRIAU","0ZGB0000000L0ZlOAK","Product Category 3","00000111"
"Product Category 10","0c8B0000000L08TIAS","0ZGB0000000L0ZsOAK","01tB0000000UI8aIAG","Elliotte",,"0c9B00000008PeSIAU","0ZGB0000000L0ZsOAK","Product Category 10","00000112"
"Product Category 7","0c8B0000000L08jIAC","0ZGB0000000L0ZpOAK","01tB0000000UI8WIAW","Orgma",,"0c9B00000008PeTIAU","0ZGB0000000L0ZpOAK","Product Category 7","00000113"
"Product Category 5","0c8B0000000L08jIAC","0ZGB0000000L0ZnOAK","01tB0000000UI8gIAG","Laffayette",,"0c9B00000008PeUIAU","0ZGB0000000L0ZnOAK","Product Category 5","00000114"
"Product Category 1","0c8B0000000L08jIAC","0ZGB0000000L0ZjOAK","01tB0000000UI8cIAG","Active care",,"0c9B00000008PeVIAU","0ZGB0000000L0ZjOAK","Product Category 1","00000115"
"Product Category 4","0c8B0000000L08jIAC","0ZGB0000000L0ZmOAK","01tB0000000UI8fIAG","Lady link",,"0c9B00000008PeWIAU","0ZGB0000000L0ZmOAK","Product Category 4","00000116"
"Product Category 2","0c8B0000000L08PIAS","0ZGB0000000L0ZkOAK","01tB0000000UI8dIAG","Gentle",,"0c9B00000008PeXIAU","0ZGB0000000L0ZkOAK","Product Category 2","00000117"
"Product Category 8","0c8B0000000L08PIAS","0ZGB0000000L0ZqOAK","01tB0000000UI8VIAW","Soft Finger",,"0c9B00000008PeYIAU","0ZGB0000000L0ZqOAK","Product Category 8","00000118"
"Product Category 9","0c8B0000000L08PIAS","0ZGB0000000L0ZrOAK","01tB0000000UI8XIAW","Whitezen",,"0c9B00000008PeZIAU","0ZGB0000000L0ZrOAK","Product Category 9","00000119"
"Product Category 6","0c8B0000000L08PIAS","0ZGB0000000L0ZoOAK","01tB0000000UI8iIAG","Neptune",,"0c9B00000008PeaIAE","0ZGB0000000L0ZoOAK","Product Category 6","00000120"
"Product Category 3","0c8B0000000L08hIAC","0ZGB0000000L0ZlOAK","01tB0000000UI8ZIAW","Kelloggs Chocos",,"0c9B00000008PebIAE","0ZGB0000000L0ZlOAK","Product Category 3","00000121"
"Product Category 10","0c8B0000000L08hIAC","0ZGB0000000L0ZsOAK","01tB0000000UI8aIAG","Elliotte",,"0c9B00000008PecIAE","0ZGB0000000L0ZsOAK","Product Category 10","00000122"
"Product Category 7","0c8B0000000L08hIAC","0ZGB0000000L0ZpOAK","01tB0000000UI8WIAW","Orgma",,"0c9B00000008PedIAE","0ZGB0000000L0ZpOAK","Product Category 7","00000123"
"Product Category 5","0c8B0000000L08hIAC","0ZGB0000000L0ZnOAK","01tB0000000UI8gIAG","Laffayette",,"0c9B00000008PeeIAE","0ZGB0000000L0ZnOAK","Product Category 5","00000124"
"Product Category 1","0c8B0000000L08lIAC","0ZGB0000000L0ZjOAK","01tB0000000UI8cIAG","Active care",,"0c9B00000008PefIAE","0ZGB0000000L0ZjOAK","Product Category 1","00000125"
"Product Category 4","0c8B0000000L08lIAC","0ZGB0000000L0ZmOAK","01tB0000000UI8fIAG","Lady link",,"0c9B00000008PegIAE","0ZGB0000000L0ZmOAK","Product Category 4","00000126"
"Product Category 2","0c8B0000000L08lIAC","0ZGB0000000L0ZkOAK","01tB0000000UI8dIAG","Gentle",,"0c9B00000008PehIAE","0ZGB0000000L0ZkOAK","Product Category 2","00000127"
"Product Category 8","0c8B0000000L08lIAC","0ZGB0000000L0ZqOAK","01tB0000000UI8VIAW","Soft Finger",,"0c9B00000008PeiIAE","0ZGB0000000L0ZqOAK","Product Category 8","00000128"
"Product Category 9","0c8B0000000L085IAC","0ZGB0000000L0ZrOAK","01tB0000000UI8XIAW","Whitezen",,"0c9B00000008PejIAE","0ZGB0000000L0ZrOAK","Product Category 9","00000129"
"Product Category 6","0c8B0000000L085IAC","0ZGB0000000L0ZoOAK","01tB0000000UI8iIAG","Neptune",,"0c9B00000008PekIAE","0ZGB0000000L0ZoOAK","Product Category 6","00000130"
"Product Category 3","0c8B0000000L085IAC","0ZGB0000000L0ZlOAK","01tB0000000UI8ZIAW","Kelloggs Chocos",,"0c9B00000008PelIAE","0ZGB0000000L0ZlOAK","Product Category 3","00000131"
"Product Category 10","0c8B0000000L085IAC","0ZGB0000000L0ZsOAK","01tB0000000UI8aIAG","Elliotte",,"0c9B00000008PemIAE","0ZGB0000000L0ZsOAK","Product Category 10","00000132"
"Product Category 7","0c8B0000000L08XIAS","0ZGB0000000L0ZpOAK","01tB0000000UI8WIAW","Orgma",,"0c9B00000008PenIAE","0ZGB0000000L0ZpOAK","Product Category 7","00000133"
